Branch,SSC  ,HSC  ,FE1  ,FE2  ,SE1  ,SE2  ,TE1  ,TE2  ,BE1  ,Agg.  ,LiveBacklogs,DeadBacklogs,NumYearsDown,Package
Computer,92.6,85.2,69.53,62.3,58,59.37,53.2,62.8,60,60.87,0,2,0,3.33
Computer,88.6,81.16,63.23,65.84,55,60.12,61.06,55.73,60,60.16,0,2,0,4
Computer,89,88,61.53,65.23,59.42,57.62,53.47,59.73,60,59.5,0,2,0,3.25
Computer,88.13,81.82,74,68.31,69.42,69.5,61.87,69.6,71.31,69.14,0,0,0,3.33
Computer,91.84,82.13,71.07,62,57.14,62.5,54.8,62.67,60,61.7,0,0,0,3.33
Computer,88.92,78.33,64.76,59.38,57.42,60,58.13,61.73,64.66,60.87,0,0,0,3.33
Computer,87,81,61,60,53,55,50.13,59.6,60,56.46,1,0,0,4
Computer,94.15,81.17,53.54,60.92,58.14,56.63,52.4,63.6,61.46,58.1,0,3,0,3.5
Computer,78,61,63,60,56,55,48.53,58.93,60,56.91,2,0,0,3.5
Computer,88.3,78,72.61,68.3,64.28,70.62,65.6,71.86,60,68.88,0,0,0,3.5
Computer,92.46,82.83,66.46,75.07,67.42,65.87,62.4,70.93,60,68.03,0,0,0,3.5
Computer,90.92,85.17,77.23,74.76,67.57,73.12,68.53,73.2,60,72.4,0,0,0,6
Computer,87.23,71,60.76,57.23,61.28,55.75,58.8,69.73,66.26,61.4,0,0,0,3.5
Computer,89.84,80,69.53,59.85,67,60.87,54.4,53.87,57.33,60.41,1,1,0,3.33
Computer,87.38,82.17,67.69,65.84,62.14,62.62,60,64,64.93,63.89,0,1,0,3.5
Computer,77,75,56,69,63,58,56.67,62.13,60,60.8,0,0,0,3.5
Computer,75,68,69,51,56,57,58.27,68.53,60,59.97,0,2,0,3.5
Computer,93,84,69.23,63.69,66.57,59.87,63.33,69.2,60,65.32,0,0,0,3.5
Computer,88.76,83,70,61.69,57.43,59.5,59.87,68.8,67.73,63.57,0,0,0,3.33
Computer,75,79,56,58,54,60,56,60.93,60,57.49,0,1,0,3.5
Computer,91.07,79.5,63.84,67.23,62.42,62.5,61.73,68.53,60,64.38,0,0,0,3.5
Computer,81.38,72.67,63,60,60,62.75,58.53,69.07,60,62.23,0,0,0,3.5
Computer,87.53,85,68.61,64.76,60.57,65.62,61.6,68.67,66,65.12,0,0,0,3.5
Computer,85.2,81.8,69.69,58.46,68.57,61.25,58.53,66.8,60,63.88,0,0,0,4
Computer,91.69,84.33,69.23,62.76,59.71,60.25,61.06,61.73,63.06,62.54,0,1,0,3.33
Computer,84.15,74,56,58,59,57,54.93,55.2,58.93,57.01,0,1,0,3.5
Computer,90,84,76.46,68.46,65,65.38,57.2,61.33,60,65.64,0,0,0,4
Computer,88.92,80.67,71.05,69,64.25,60,55.87,59.73,61.33,63.03,0,0,0,3.33
Computer,90.9,89,66,62.92,61.42,68,63.33,60.53,60,63.7,0,0,0,3.5
Computer,82.61,69.17,66,61.69,56.28,64.37,60.66,60.4,60,61.57,0,1,0,3.5
Computer,87,83,67.23,64,59.14,62.75,60.27,65.73,60,63.19,0,1,0,3.5
Computer,92,77.83,58.92,59.84,58.85,55.37,52.8,56.4,53.6,56.54,0,1,0,3.5
Computer,93.38,74.5,62.15,58.46,55.46,60.8,54,52.53,61,57.23,0,2,0,3.25
Computer,75.69,70,61.69,60.31,59.07,63.87,57.2,57.2,65.47,60.69,0,2,0,3.5
Computer,85.53,75,66.31,64.31,56.29,59.14,56.53,63.47,60,61.01,0,0,0,3.33
Computer,85.84,74.5,76,67.38,68.14,65.87,62.27,59.33,60,66.5,0,0,0,3.5
Computer,90,78,65,60,54,65,62,58.67,62.67,61.05,0,0,0,3.33
Computer,74,68,56,55,48,54,51.6,52.8,61,52.9,0,2,0,4
Computer,79.23,77.38,59.23,53.69,51.71,57.87,48.13,52.93,60,53.93,1,0,0,4
Computer,84.2,77.7,59,58,57,55,52.5,57.6,59.2,56.9,1,4,0,4
Computer,86,83,75.23,68.61,68.57,65,63.33,71.47,68.53,68.68,0,0,0,3.33
Computer,90.92,84.33,64.15,62,65,62.25,60.27,60.46,60,62.36,0,1,0,3.33
Computer,92.46,82.5,63.84,66.3,57.71,65.75,54.66,61.33,63.2,61.83,0,1,0,4.5
Computer,92.76,83.06,65.38,58.76,54.57,60.87,60.93,62.66,60,60.53,0,0,0,6
Computer,75.4,64.4,54.6,55.69,57.71,60.62,56.8,58.4,70,59.12,0,1,0,3.5
Computer,86,74,65,59,57,63,59.87,60.13,63.06,61.01,0,1,0,3.5
Computer,87.34,79.32,66,66,56,69,66.13,66.93,60,65.01,0,1,0,3.33
Computer,80,77,58.61,63.01,63.15,71.5,66.67,66.23,67.46,65.23,0,1,0,3.33
Computer,88.46,83,74.3,75.07,67.57,71.87,65.06,66.27,60,70.02,0,0,0,3.33
Computer,91.69,79,66.46,66,60.8,59,61.08,59.73,61.06,62.02,0,0,0,3.33
Computer,73,60,58.61,61.23,55.85,57.5,58.53,58.4,62.53,58.95,0,0,0,3.5
Computer,89.69,69,62,68.15,59.7,65.12,58.27,62.4,70.26,63.7,0,0,0,3.33
Computer,85.23,82.17,69.07,67.23,70.42,68.37,64,68.8,60,67.98,0,0,0,3.5
Computer,70.76,71.83,53.07,53.84,49.42,54.62,61.6,63.47,67.6,57.66,0,0,0,3.5
Computer,86.76,79,65.69,60.15,53.28,58.75,59.87,60,63,60.11,0,0,0,3.5
Computer,83.38,78.83,63.07,62.76,68.14,69.25,68.93,68.8,69.6,67.22,0,0,0,6
Computer,92.92,87.17,75.69,74.61,74.43,78.5,74.93,70.13,60,74.72,0,0,0,4.5
Computer,83,72,59.84,50.15,51.42,52.37,52.26,59.46,59.73,55.03,2,1,0,4
Computer,89.53,80,65.23,61.23,64.85,68,70,68.8,60,66.35,0,0,0,4.5
Computer,88,76.5,71.69,71.07,67.85,69.5,62.27,62.6,60,67.5,0,0,0,4
Computer,81.83,77,52.3,60.46,63.57,65.12,64.4,64.8,60,61.78,0,0,0,3.33
Computer,86.76,81.23,58.3,54.49,50.8,56.66,52.13,60.27,63.6,56.61,0,3,0,3.5
Computer,84.15,77.5,60.92,56.15,63.28,67.25,63.06,66.26,60,62.82,0,0,0,3.33
Computer,71.84,64.33,60.46,52.61,53,58.75,58.8,67.47,70.93,60.29,0,1,0,3.5
Computer,80.6,63.5,64.3,61.69,56.14,62.5,58.67,65.6,66,62.13,0,3,0,3.33
E&TC,89.38,75,71.38,75.07,65.33,66.67,68.27,62.4,60,68.19,0,0,0,3.5
E&TC,81.84,73.5,66.43,65,59.6,59,61.33,63.86,60,62.54,0,0,0,3.5
E&TC,94,76,63.23,64.61,54.53,53.33,51.33,52.86,63.2,57.58,0,1,0,3.5
E&TC,83.07,81,65,72,64,69,72.53,74,70.6,69.59,0,0,0,3.25
E&TC,94.3,89.5,75,72,60,70,62.93,64,65.6,67.08,0,0,0,3.33
E&TC,81.84,80.84,73.52,66.57,58.53,69.2,66.67,63.86,60,66.39,0,0,0,3.5
E&TC,91.84,85.83,78.15,70.31,64.8,76.67,71.47,72.4,60,72.3,0,0,0,3.33
E&TC,87.84,83.5,54.47,55.53,57.46,53.33,56.53,57.06,60,55.73,0,4,0,3.25
E&TC,88.3,77,58.62,64.15,52.13,53.6,55.6,48.27,60,55.4,0,4,0,3.25
E&TC,92.46,84,74.3,74.8,66.1,77.5,70.53,73.6,60,72.81,0,0,0,3.33
E&TC,93.53,83.5,75.85,77.53,64.13,75.73,69.47,70.26,66.53,71.36,0,0,0,3.33
E&TC,88,70,53,50,50,53,36.39,48.48,60,48.48,0,0,0,12
E&TC,88.76,79.67,68.77,66.61,63.2,76.13,62.4,62.4,60,66.59,0,0,0,3.5
E&TC,87,71,51.38,52.3,50.4,60.26,60.93,64.53,62.93,57.53,0,2,0,3.5
E&TC,92.46,83,65.53,66.15,55.6,64.16,63.6,64,63.06,63.16,0,0,0,3.33
E&TC,79.07,77.67,73.07,68.46,60.53,68.8,64.13,62.13,60,66.19,0,0,0,4.5
E&TC,89.69,77.17,71.53,65.38,59.73,75.46,67.6,65.33,60.4,66.49,0,0,0,3.4
E&TC,87.07,74,61.53,59.23,54.93,55.06,51.73,58,57.6,56.87,0,4,0,3.25
E&TC,92.61,87.5,78.61,76.86,73.73,80.53,74.4,64.13,62.8,73.01,0,0,0,3.33
E&TC,91.23,82.5,67.3,65.66,58.64,61.14,60.4,65.06,60,63.03,0,0,0,3.5
E&TC,88.3,76.33,71.69,69.84,67.46,73.2,68.27,65.87,60,69.39,0,0,0,3.33
E&TC,91.84,77.83,71.84,68.76,64.93,67.33,60.67,61.2,62.93,65.38,1,0,0,3.33
E&TC,90,83.83,58.15,59.38,52.53,62.26,61.33,62.8,62.53,59.85,0,0,0,3.25
E&TC,87.5,75,65.23,69.7,63.2,68.8,62.93,55.6,61.6,63.87,0,0,0,3.33
E&TC,88.62,72,57.2,57.6,51.02,57.04,58.8,61.2,64.13,58.14,0,0,0,3.5
E&TC,88.76,77,64.3,66.76,54.93,67.2,69.2,67.6,60,65,0,0,0,3.33
E&TC,84.85,72,65.3,66.8,65.3,67,66,66.8,60,66.2,0,0,0,3.33
E&TC,82.3,74.33,67.61,64.2,58.6,57.6,62.93,61.59,57.2,61.39,0,0,0,3.33
E&TC,81.69,72.5,59.23,61.23,52,68,56.67,59.38,60,59.42,0,4,0,3.33
E&TC,90.46,85.33,77.38,71.84,67.2,69.46,66.8,66.5,60,69.86,0,0,0,3.33
E&TC,82.3,76.16,58.92,57.07,50.66,53.6,56.13,54.53,60,55.15,0,4,0,3.5
E&TC,91.53,80.83,74.15,75.53,68.66,73.2,72.93,66,60,71.75,0,0,0,3.33
E&TC,85,76,60,52.26,55.33,55,53.8,56.8,60,55.53,0,3,0,3.5
E&TC,89.69,78.17,65.84,63.38,53.86,57.7,60.8,60.53,60,60.35,0,3,0,3.33
E&TC,93.07,83.33,68.15,62.92,54.53,60.6,66.67,65.86,60,63.12,0,2,0,3.5
E&TC,84.8,65,67.38,65.54,55.2,62.94,61.33,60,70.93,63.33,0,0,0,3.5
E&TC,90,70.67,55.69,59.84,52,59.3,64.27,61.46,62.13,59.24,0,1,0,3.5
E&TC,88,72,54,56,51.7,56.8,59.07,60,64.6,57.45,0,1,0,3.5
E&TC,85,81,65,66,57,63,60.27,62.11,67,62.91,0,0,0,3.33
E&TC,91.83,77.84,63.26,66.67,57.86,71.33,67.2,68.4,68.26,66.14,0,0,0,3.33
E&TC,81.23,77.17,66.76,73.38,61.33,66.66,67.33,64.4,68.28,66.88,0,0,0,3.5
E&TC,87.38,81.83,65.38,56.62,51.87,59.47,51.47,68.67,63.6,59.58,0,0,0,3.33
E&TC,79.07,73.83,57.84,54.76,54.13,52.93,52.4,57.6,63.33,56.14,0,4,0,3.25
E&TC,86.76,77,60.92,60.92,60.26,64.66,66,66.53,62.66,63.14,0,0,0,4.25
E&TC,91.38,81.66,68.46,59.23,56.93,68.13,62,62.95,58.26,62.28,0,0,0,3.33
E&TC,90,74.67,66.76,65.53,57.33,65.33,59.33,58.8,61.6,62.1,0,1,0,3.33
E&TC,87.36,72.5,53.69,63.69,55.46,62.53,59.33,63,62.66,60.05,0,0,0,3.5
E&TC,86.45,60.81,56.46,53.13,50,60,59.47,56.13,59.2,56.34,0,3,0,3.25
E&TC,65,51.2,65.23,68.3,63.33,64.67,65.2,65.35,61.73,64.83,0,0,0,3.25
E&TC,90.15,79.17,66,62.61,58.66,68.13,64.67,65.53,67.73,64.76,0,0,0,3.33
E&TC,84.76,78.17,56.61,63.38,58.4,64.26,56.53,57.07,60,59.38,0,0,0,3.25
E&TC,91.07,83.33,60.46,62,56.93,67.33,61.2,60.26,60,61.36,0,0,0,3.5
E&TC,94,78.67,69.69,70.76,56.26,71.33,62.8,61.6,65.06,65.36,0,1,0,3.33
E&TC,92.15,74.3,74.9,74.9,70.8,74.7,68.53,66.4,69.4,71.38,0,0,0,3.33
E&TC,92.53,79.17,75.38,75.69,70,73.6,66.4,64.4,69.33,70.69,0,0,0,3.33
E&TC,76.5,62.5,58.53,56,50,55,53.33,55,57,54.98,0,3,0,4
E&TC,91.69,67.83,70.69,70.76,58.93,64.8,60.27,65.09,64.8,65.05,0,0,0,3.5
E&TC,91.53,80,59.23,64.61,54.26,65.72,62.93,60.4,62.95,61.44,0,0,0,3.5
E&TC,86,72,54,56,55,55,52.8,59.86,61.06,56.25,0,3,0,3.5
E&TC,88,68,69,63,62,58,59.47,53,62,60.92,0,0,0,3.33
IT,69,64,55.07,51.38,60.8,59.46,60.8,62.4,69.8,60,0,2,0,3.5
IT,89.92,79,66,65.5,64,62.66,57.87,57.73,64.5,62.61,0,0,0,3.5
IT,91.07,78.66,74.76,72.61,71.6,68.9,65.2,67.87,72.66,70.49,0,0,0,4
